State,Station,Elevation_m,Year,MinMeanTemp_C,MaxMeanTemp_C,Rainfall_mm,RainDays,MeanRH_pct
Johor,Senai,(37.8m),2014,23.5,32.2,2616.8,183.0,83.8
Johor,Kluang,(88.1m),2014,23.6,32.3,2245.8,160.0,83.1
Kedah,Alor Setar,(3.9m),2014,24.1,32.9,2102.6,167.0,80.9
Kedah,Pulau Langkawi,(6.4m),2014,25.2,32.1,2173.4,182.0,78.6
Kelantan,Kota Bharu,(4.4m),2014,23.9,31.2,2998.9,138.0,81.5
Kelantan,Kuala Krai,(34.9 m),2014,22.2,32.4,3117.8,157.0,85.4
Melaka,Melaka,(8.5m),2014,24.2,32.2,1840.0,148.0,80.2
Pahang,Kuantan,(15.2m),2014,23.7,32.3,3776.0,149.0,82.0
Pahang,Cameron Highlands,"(1,545.0m)",2014,15.7,22.5,2894.6,229.0,89.8
Perak,Ipoh,(40.1m),2014,24.0,33.0,2501.2,193.0,78.3
Perak,Sitiawan,(6.8m),2014,24.1,32.3,1663.0,154.0,81.8
Perlis,Chuping  ,(21.7m),2014,24.1,33.3,1880.9,154.0,82.1
Pulau Pinang,Bayan Lepas,(2.5 m),2014,25.3,32.0,1876.9,169.0,79.1
Pulau Pinang,Butterworth,(3.3m),2014,24.4,31.8,2265.2,159.0,80.8
Sabah,Kota Kinabalu,(2.1m),2014,24.1,32.5,3102.7,167.0,81.3
Sabah,Kudat,(3.5m),2014,23.8,31.1,2438.1,171.0,83.1
Sabah,Sandakan,(12.1m),2014,24.4,31.5,3221.4,186.0,82.9
Sabah,Tawau,(17.5m),2014,23.4,31.8,1677.1,154.0,80.0
Sarawak,Kuching,(20.9m),2014,23.7,32.2,3692.9,221.0,82.3
Sarawak,Miri ,(17.0m),2014,23.8,31.1,2372.2,171.0,81.8
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2014,24.6,32.3,2212.2,156.0,76.9
Selangor,Subang,(16.6m),2014,24.7,33.2,2567.8,188.0,76.0
Terengganu,Kuala Terengganu,(5.2m),2014,24.4,31.5,2870.6,137.0,81.0
Wilayah Persekutuan Labuan,Labuan,(27.9m),2014,25.1,31.1,3054.8,193.0,81.0
Johor,Senai,(37.8m),2015,23.7,32.4,2474.2,178.0,85.1
Johor,Kluang,(88.1m),2015,24.0,32.7,1928.8,155.0,83.3
Johor,Batu Pahat,(6.3 m),2015,24.1,32.4,1865.4,159.0,83.2
Johor,Mersing,(43.6 m),2015,24.3,32.2,2047.4,141.0,84.2
Kedah,Alor Setar,(3.9m),2015,24.3,33.2,2153.4,176.0,79.8
Kedah,Pulau Langkawi,(6.4m),2015,25.3,32.2,2464.8,172.0,78.1
Kelantan,Kota Bharu,(4.4m),2015,24.4,31.6,2065.3,154.0,80.3
Kelantan,Kuala Krai,(34.9 m),2015,23.1,33.0,2212.1,160.0,84.3
Kelantan,Gong Kedak,(6.0 m),2015,-,-,-,-,-
Melaka,Melaka,(8.5m),2015,24.5,32.4,2324.3,150.0,81.4
Pahang,Kuantan,(15.2m),2015,23.9,32.4,1947.4,152.0,83.5
Pahang,Cameron Highlands,"(1,545.0m)",2015,15.9,22.7,2688.6,213.0,90.6
Pahang,"Batu Embun, Jerantut",(59.5 m),2015,23.5,33.6,1811.6,142.0,82.2
Pahang,Muadzam Shah,(33.3 m),2015,23.6,32.9,1968.9,148.0,85.6
Pahang,Temerloh,(39.1 m),2015,23.6,33.8,1193.2,137.0,80.6
Perak,Ipoh,(40.1m),2015,24.1,33.1,2950.6,192.0,80.6
Perak,Sitiawan,(6.8m),2015,24.2,32.4,1553.3,149.0,82.9
Perak,"Lubok Merbau, Kuala Kangsar",(77.5 m),2015,23.7,33.4,2357.6,188.0,79.1
Perlis,Chuping  ,(21.7m),2015,24.3,33.3,2123.8,157.0,80.0
Pulau Pinang,Bayan Lepas,(2.5 m),2015,24.7,31.6,3067.5,193.0,78.3
Pulau Pinang,Butterworth,(3.3m),2015,24.4,31.8,2420.8,181.0,81.1
Sabah,Kota Kinabalu,(2.1m),2015,24.6,32.8,2031.4,151.0,81.1
Sabah,Kudat,(3.5m),2015,24.6,31.3,1973.6,152.0,81.7
Sabah,Sandakan,(12.1m),2015,24.9,32.1,2176.1,146.0,81.1
Sabah,Tawau,(17.5m),2015,23.7,32.0,1378.6,134.0,83.0
Sabah,Ranau,(501.0 m),2015,-,-,-,-,-
Sarawak,Kuching,(20.9m),2015,23.9,32.0,4545.5,223.0,83.4
Sarawak,Miri ,(17.0m),2015,24.2,31.6,2634.8,194.0,83.2
Sarawak,Bintulu,(24.3 m),2015,23.8,31.8,3459.0,214.0,86.4
Sarawak,Sibu,(30.9 m),2015,23.6,32.3,3704.7,218.0,84.0
Sarawak,Sri Aman,(9.6 m),2015,23.5,32.7,2793.9,203.0,85.6
Sarawak,Mulu,(26.2 m),2015,-,-,-,-,-
Sarawak,Limbang,(3.6 m),2015,-,-,-,-,-
Sarawak,Kapit,(35.0 m),2015,-,-,-,-,-
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2015,24.7,32.4,2021.8,164.0,77.4
Selangor,Subang,(16.6m),2015,24.8,33.3,3355.3,218.0,77.7
Selangor,Petaling Jaya,(58.6 m),2015,25.3,33.3,3757.4,218.0,73.2
Terengganu,Kuala Terengganu,(5.2m),2015,24.7,31.6,1860.4,141.0,81.1
Terengganu,Kerteh,(3.7 m),2015,-,-,-,-,-
Wilayah Persekutuan Labuan,Labuan,(27.9m),2015,25.3,31.5,2840.4,177.0,79.5
Johor,Senai,(37.8m),2016,24.4,32.9,1926.6,194.0,85.6
Johor,Kluang,(88.1m),2016,24.3,32.7,1633.8,173.0,83.4
Johor,Batu Pahat,(6.3 m),2016,24.6,32.7,1848.6,179.0,84.6
Johor,Mersing,(43.6 m),2016,24.8,33.1,1589.0,148.0,82.6
Kedah,Alor Setar,(3.9m),2016,24.8,33.3,1904.4,149.0,81.1
Kedah,Pulau Langkawi,(6.4m),2016,25.8,32.5,1832.2,150.0,77.4
Kelantan,Kota Bharu,(4.4m),2016,24.8,31.9,2652.8,151.0,78.7
Kelantan,Kuala Krai,(34.9 m),2016,23.6,33.5,2288.4,170.0,85.2
Kelantan,Gong Kedak,(6.0 m),2016,-,-,-,-,-
Melaka,Melaka,(8.5m),2016,25.0,32.7,2207.2,171.0,79.4
Pahang,Kuantan,(15.2m),2016,24.2,32.6,2211.8,186.0,85.6
Pahang,Cameron Highlands,"(1,545.0m)",2016,16.2,23.1,2266.9,224.0,89.3
Pahang,"Batu Embun, Jerantut",(59.5 m),2016,23.8,34.2,2028.8,169.0,83.6
Pahang,Muadzam Shah,(33.3 m),2016,24.2,33.2,1787.3,154.0,85.6
Pahang,Temerloh,(39.1 m),2016,23.7,34.1,1397.8,151.0,81.5
Perak,Ipoh,(40.1m),2016,24.6,33.9,1954.5,180.0,75.7
Perak,Sitiawan,(6.8m),2016,24.7,32.9,1569.6,152.0,81.2
