State,Year,Avg_Rainfall_mm,MinMeanTemp_C
Johor,2014,2431.3,23.55
Kedah,2014,2138.0,24.65
Kelantan,2014,3058.3500000000004,23.049999999999997
Melaka,2014,1840.0,24.2
Pahang,2014,3335.3,19.7
Perak,2014,2082.1,24.05
Perlis,2014,1880.9,24.1
Pulau Pinang,2014,2071.05,24.85
Selangor,2014,2390.0,24.65
Terengganu,2014,2870.6,24.4
Wilayah Persekutuan Labuan,2014,3054.8,25.1
Johor,2015,2078.95,24.025
Kedah,2015,2309.1000000000004,24.8
Kelantan,2015,2138.7,23.75
Melaka,2015,2324.3,24.5
Pahang,2015,1921.94,22.1
Perak,2015,2287.1666666666665,24.0
Perlis,2015,2123.8,24.3
Pulau Pinang,2015,2744.15,24.549999999999997
Selangor,2015,3044.8333333333335,24.933333333333334
Terengganu,2015,1860.4,24.7
Wilayah Persekutuan Labuan,2015,2840.4,25.3
Johor,2016,1749.5,24.525
Kedah,2016,1868.3000000000002,25.3
Kelantan,2016,2470.6000000000004,24.200000000000003
Melaka,2016,2207.2,25.0
Pahang,2016,1938.52,22.419999999999998
Perak,2016,1792.5666666666666,24.400000000000002
Perlis,2016,1563.3,24.8
Pulau Pinang,2016,2366.0,24.85
Selangor,2016,2595.9333333333334,25.2
Terengganu,2016,2946.4,24.9
Wilayah Persekutuan Labuan,2016,3117.5,25.5
Johor,2017,2378.125,24.025
Kedah,2017,2824.0,24.6
Kelantan,2017,3418.7,24.0
Melaka,2017,2336.9,21.6
Pahang,2017,2793.7799999999997,22.4
Perak,2017,2404.2333333333336,23.933333333333337
Perlis,2017,2313.4,25.2
Pulau Pinang,2017,2633.0,25.05
Selangor,2017,2479.6666666666665,24.5
Terengganu,2017,3074.4,24.5
Wilayah Persekutuan Labuan,2017,4938.9,24.9
Johor,2018,2266.5249999999996,23.825
Kedah,2018,2202.2,24.85
Kelantan,2018,2592.1,23.9
Melaka,2018,2249.4,24.2
Pahang,2018,2406.56,22.02
Perak,2018,2415.3333333333335,23.900000000000002
Perlis,2018,1839.6,24.5
Pulau Pinang,2018,2374.7,24.85
Selangor,2018,3317.1666666666665,24.766666666666666
Terengganu,2018,2646.0,24.6
Wilayah Persekutuan Labuan,2018,3033.2,24.7
Johor,2019,2174.525,24.025
Kedah,2019,2296.95,25.15
Kelantan,2019,1758.0666666666666,23.96666666666667
Melaka,2019,1616.8,24.5
Pahang,2019,1737.6200000000001,22.04
Perak,2019,2083.8333333333335,24.2
Perlis,2019,1553.8,24.2
Pulau Pinang,2019,1949.5500000000002,25.1
Selangor,2019,2895.8333333333335,25.066666666666666
Terengganu,2019,1603.5,24.35
Wilayah Persekutuan Labuan,2019,3433.6,25.2
Johor,2020,2458.8,24.225
Kedah,2020,2570.0,25.0
Kelantan,2020,3189.7333333333336,24.099999999999998
Melaka,2020,1712.2,24.0
Pahang,2020,2262.12,22.259999999999998
Perak,2020,2479.1666666666665,24.266666666666666
Perlis,2020,2195.0,24.3
Pulau Pinang,2020,1996.0,25.1
Selangor,2020,3139.2000000000003,25.133333333333336
Terengganu,2020,3238.8,24.5
Wilayah Persekutuan Labuan,2020,4301.3,25.0
