State,Year,Month,Day,Rainfall (mm)
Johor,2014,1,1,0.189798
Johor,2014,1,2,1.728502
Johor,2014,1,3,2.200623
Johor,2014,1,4,1.267946
Johor,2014,1,5,0.853468
Johor,2014,1,6,3.629714
Johor,2014,1,7,0.872828
Johor,2014,1,8,3.488636
Johor,2014,1,9,2.282273
Johor,2014,1,10,2.051145
Johor,2014,1,11,0.673771
Johor,2014,1,12,1.248552
Johor,2014,1,13,4.062205
Johor,2014,1,14,15.796481
Johor,2014,1,15,13.452441
Johor,2014,1,16,4.459276
Johor,2014,1,17,1.266532
Johor,2014,1,18,0.555185
Johor,2014,1,19,0.189949
Johor,2014,1,20,0.143316
Johor,2014,1,21,0.061313
Johor,2014,1,22,0.030337
Johor,2014,1,23,0.036734
Johor,2014,1,24,2.093081
Johor,2014,1,25,7.520488
Johor,2014,1,26,5.127239
Johor,2014,1,27,0.803923
Johor,2014,1,28,1.207071
Johor,2014,1,29,1.251128
Johor,2014,1,30,0.553485
Johor,2014,1,31,2.258923
Johor,2014,2,1,2.510943
Johor,2014,2,2,1.894327
Johor,2014,2,3,1.30564
Johor,2014,2,4,0.590909
Johor,2014,2,5,0.583535
Johor,2014,2,6,0.247088
Johor,2014,2,7,0.154747
Johor,2014,2,8,0.166667
Johor,2014,2,9,0.680825
Johor,2014,2,10,0.53404
Johor,2014,2,11,1.839226
Johor,2014,2,12,1.320758
Johor,2014,2,13,0.538939
Johor,2014,2,14,5.845926
Johor,2014,2,15,11.114411
Johor,2014,2,16,9.604444
Johor,2014,2,17,7.522391
Johor,2014,2,18,2.718906
Johor,2014,2,19,1.293569
Johor,2014,2,20,0.120067
Johor,2014,2,21,0.037845
Johor,2014,2,22,0.034377
Johor,2014,2,23,1.27463
Johor,2014,2,24,1.902727
Johor,2014,2,25,0.324798
Johor,2014,2,26,1.20399
Johor,2014,2,27,0.047929
Johor,2014,2,28,0.428384
Johor,2014,3,1,0.652407
Johor,2014,3,2,2.450556
Johor,2014,3,3,0.876869
Johor,2014,3,4,0.568788
Johor,2014,3,5,1.378754
Johor,2014,3,6,0.586094
Johor,2014,3,7,0.061279
Johor,2014,3,8,0.037845
Johor,2014,3,9,0.010943
Johor,2014,3,10,0.013434
Johor,2014,3,11,0.122727
Johor,2014,3,12,0.674394
Johor,2014,3,13,1.170572
Johor,2014,3,14,5.682239
Johor,2014,3,15,5.045825
Johor,2014,3,16,8.073855
Johor,2014,3,17,4.94537
Johor,2014,3,18,2.232929
Johor,2014,3,19,0.571785
Johor,2014,3,20,0.129428
Johor,2014,3,21,0.043316
Johor,2014,3,22,0.097828
Johor,2014,3,23,0.612357
Johor,2014,3,24,2.075556
Johor,2014,3,25,1.682172
Johor,2014,3,26,0.767054
Johor,2014,3,27,0.120623
Johor,2014,3,28,0.637929
Johor,2014,3,29,0.28463
Johor,2014,3,30,0.370135
Johor,2014,3,31,2.407088
Johor,2014,4,1,0.897845
Johor,2014,4,2,0.031481
Johor,2014,4,3,0.029074
Johor,2014,4,4,0.039293
Johor,2014,4,5,0.13601
Johor,2014,4,6,0.074293
Johor,2014,4,7,0.000438
Johor,2014,4,8,0.007862
Johor,2014,4,9,0.004916
Johor,2014,4,10,0.003232
Johor,2014,4,11,0.00064
Johor,2014,4,12,0.000724
Johor,2014,4,13,0.0
Johor,2014,4,14,0.0
Johor,2014,4,15,0.004394
Johor,2014,4,16,0.012525
Johor,2014,4,17,0.022306
Johor,2014,4,18,0.029731
Johor,2014,4,19,0.000387
Johor,2014,4,20,0.0
Johor,2014,4,21,0.0
Johor,2014,4,22,0.011178
Johor,2014,4,23,0.029377
Johor,2014,4,24,0.0
Johor,2014,4,25,0.000168
Johor,2014,4,26,0.002609
Johor,2014,4,27,0.012609
Johor,2014,4,28,0.000488
Johor,2014,4,29,0.0067
Johor,2014,4,30,0.0
Johor,2014,5,1,0.0
Johor,2014,5,2,0.003603
Johor,2014,5,3,0.000152
Johor,2014,5,4,0.0
Johor,2014,5,5,0.001044
Johor,2014,5,6,0.007172
Johor,2014,5,7,0.054377
Johor,2014,5,8,0.030505
Johor,2014,5,9,0.014444
Johor,2014,5,10,0.043401
Johor,2014,5,11,0.01601
Johor,2014,5,12,0.006481
Johor,2014,5,13,0.0
Johor,2014,5,14,0.005774
Johor,2014,5,15,0.000976
Johor,2014,5,16,0.027609
Johor,2014,5,17,0.112963
Johor,2014,5,18,0.297761
Johor,2014,5,19,0.09803
Johor,2014,5,20,3.4e-05
Johor,2014,5,21,0.000135
Johor,2014,5,22,0.0
Johor,2014,5,23,0.0
Johor,2014,5,24,0.0
Johor,2014,5,25,0.000152
Johor,2014,5,26,0.0
Johor,2014,5,27,0.000673
Johor,2014,5,28,0.074512
Johor,2014,5,29,0.272441
Johor,2014,5,30,0.326296
Johor,2014,5,31,1.532306
Johor,2014,6,1,5.184545
Johor,2014,6,2,0.087239
Johor,2014,6,3,0.000337
Johor,2014,6,4,0.0
Johor,2014,6,5,0.008552
Johor,2014,6,6,0.48202
Johor,2014,6,7,0.013131
Johor,2014,6,8,0.434848
Johor,2014,6,9,1.124444
Johor,2014,6,10,0.098569
Johor,2014,6,11,0.0
Johor,2014,6,12,0.000505
Johor,2014,6,13,0.000118
Johor,2014,6,14,0.0
Johor,2014,6,15,0.0
Johor,2014,6,16,0.0
Johor,2014,6,17,0.039394
Johor,2014,6,18,0.000505
Johor,2014,6,19,0.0
Johor,2014,6,20,0.0
Johor,2014,6,21,0.023232
Johor,2014,6,22,0.110623
Johor,2014,6,23,0.319579
Johor,2014,6,24,0.004276
Johor,2014,6,25,0.000673
Johor,2014,6,26,0.001397
Johor,2014,6,27,0.0
Johor,2014,6,28,1.7e-05
Johor,2014,6,29,0.001717
Johor,2014,6,30,0.026279
Johor,2014,7,1,4.531886
Johor,2014,7,2,0.020438
Johor,2014,7,3,0.002155
Johor,2014,7,4,3.313923
Johor,2014,7,5,0.610556
Johor,2014,7,6,0.004209
Johor,2014,7,7,0.0
Johor,2014,7,8,0.0
Johor,2014,7,9,0.0
Johor,2014,7,10,0.000152
Johor,2014,7,11,0.542525
Johor,2014,7,12,0.000589
Johor,2014,7,13,0.000589
Johor,2014,7,14,8.4e-05
Johor,2014,7,15,0.000202
Johor,2014,7,16,6.7e-05
Johor,2014,7,17,0.0
Johor,2014,7,18,3.4e-05
Johor,2014,7,19,0.000185
Johor,2014,7,20,0.0
Johor,2014,7,21,0.000152
Johor,2014,7,22,0.0
Johor,2014,7,23,0.0
Johor,2014,7,24,0.0
Johor,2014,7,25,0.095067
Johor,2014,7,26,0.072138
Johor,2014,7,27,0.221077
Johor,2014,7,28,0.000135
Johor,2014,7,29,0.0
Johor,2014,7,30,0.0
Johor,2014,7,31,0.038973
Johor,2014,8,1,0.119242
Johor,2014,8,2,0.654781
Johor,2014,8,3,4.574327
Johor,2014,8,4,0.602828
Johor,2014,8,5,0.215657
Johor,2014,8,6,1.7e-05
Johor,2014,8,7,0.001852
Johor,2014,8,8,0.002172
Johor,2014,8,9,0.00064
Johor,2014,8,10,0.01069
Johor,2014,8,11,0.0
Johor,2014,8,12,0.0
Johor,2014,8,13,0.0
Johor,2014,8,14,0.004798
Johor,2014,8,15,0.004714
Johor,2014,8,16,0.035943
Johor,2014,8,17,0.0
Johor,2014,8,18,0.0
Johor,2014,8,19,0.000168
Johor,2014,8,20,0.0
Johor,2014,8,21,0.003199
Johor,2014,8,22,1.155135
Johor,2014,8,23,4.730707
Johor,2014,8,24,0.26463
Johor,2014,8,25,0.134478
Johor,2014,8,26,1.225522
Johor,2014,8,27,0.575673
Johor,2014,8,28,1.617761
Johor,2014,8,29,0.040168
Johor,2014,8,30,0.000337
Johor,2014,8,31,0.001801
Johor,2014,9,1,0.0
Johor,2014,9,2,0.037879
Johor,2014,9,3,0.101027
Johor,2014,9,4,0.000387
Johor,2014,9,5,0.000337
Johor,2014,9,6,0.00101
Johor,2014,9,7,0.0
Johor,2014,9,8,0.011347
Johor,2014,9,9,0.493771
Johor,2014,9,10,0.686027
Johor,2014,9,11,6.017441
Johor,2014,9,12,0.25601
Johor,2014,9,13,0.0
Johor,2014,9,14,0.000168
Johor,2014,9,15,0.0
Johor,2014,9,16,0.002189
Johor,2014,9,17,0.373367
Johor,2014,9,18,1.480118
Johor,2014,9,19,0.008182
Johor,2014,9,20,14.384242
Johor,2014,9,21,2.470909
Johor,2014,9,22,5.1e-05
Johor,2014,9,23,0.001178
Johor,2014,9,24,0.001077
Johor,2014,9,25,0.346481
Johor,2014,9,26,4.110286
Johor,2014,9,27,7.958552
Johor,2014,9,28,11.722845
Johor,2014,9,29,2.709125
Johor,2014,9,30,2.075471
Johor,2014,10,1,0.024798
Johor,2014,10,2,0.982071
Johor,2014,10,3,3.924024
Johor,2014,10,4,1.887071
Johor,2014,10,5,0.548502
Johor,2014,10,6,0.005219
Johor,2014,10,7,0.43064
Johor,2014,10,8,2.120741
Johor,2014,10,9,1.251566
Johor,2014,10,10,0.053687
Johor,2014,10,11,0.0
Johor,2014,10,12,0.000303
Johor,2014,10,13,0.159175
Johor,2014,10,14,7.078182
Johor,2014,10,15,14.251869
Johor,2014,10,16,1.051061
Johor,2014,10,17,0.140556
Johor,2014,10,18,3.183687
Johor,2014,10,19,19.164444
Johor,2014,10,20,6.76101
Johor,2014,10,21,0.379848
Johor,2014,10,22,2.064933
Johor,2014,10,23,1.55665
Johor,2014,10,24,0.111734
Johor,2014,10,25,1.287357
Johor,2014,10,26,4.150438
Johor,2014,10,27,1.133552
Johor,2014,10,28,1.742677
Johor,2014,10,29,0.874394
Johor,2014,10,30,2.117694
Johor,2014,10,31,15.055522
Johor,2014,11,1,9.109764
Johor,2014,11,2,2.132727
Johor,2014,11,3,49.943502
Johor,2014,11,4,23.470657
Johor,2014,11,5,8.632424
Johor,2014,11,6,0.746162
Johor,2014,11,7,0.031902
Johor,2014,11,8,0.0
Johor,2014,11,9,2.512896
Johor,2014,11,10,20.748215
Johor,2014,11,11,5.10229
Johor,2014,11,12,1.398266
Johor,2014,11,13,0.115303
Johor,2014,11,14,0.062929
Johor,2014,11,15,0.356027
Johor,2014,11,16,0.573148
Johor,2014,11,17,0.213805
Johor,2014,11,18,1.12537
Johor,2014,11,19,5.080842
Johor,2014,11,20,3.478687
Johor,2014,11,21,1.45564
Johor,2014,11,22,0.714209
Johor,2014,11,23,1.689343
Johor,2014,11,24,2.031263
Johor,2014,11,25,1.830859
Johor,2014,11,26,3.377492
Johor,2014,11,27,0.394444
Johor,2014,11,28,0.212172
Johor,2014,11,29,9.187104
Johor,2014,11,30,10.636785
Johor,2014,12,1,5.413451
Johor,2014,12,2,13.131717
Johor,2014,12,3,19.20271
Johor,2014,12,4,8.115926
Johor,2014,12,5,0.079125
Johor,2014,12,6,29.250589
Johor,2014,12,7,2.248249
Johor,2014,12,8,8.483721
Johor,2014,12,9,11.768485
Johor,2014,12,10,0.851044
Johor,2014,12,11,1.370976
Johor,2014,12,12,0.734276
Johor,2014,12,13,1.20968
Johor,2014,12,14,1.239175
Johor,2014,12,15,2.873249
Johor,2014,12,16,7.25101
Johor,2014,12,17,5.79362
Johor,2014,12,18,5.914428
Johor,2014,12,19,6.202357
Johor,2014,12,20,13.540572
Johor,2014,12,21,15.18362
Johor,2014,12,22,10.680791
Johor,2014,12,23,5.190522
Johor,2014,12,24,1.711414
Johor,2014,12,25,0.955219
Johor,2014,12,26,0.498906
Johor,2014,12,27,0.192121
Johor,2014,12,28,0.455404
Johor,2014,12,29,0.687222
Johor,2014,12,30,0.440303
Johor,2014,12,31,0.412609
Johor,2015,1,1,1.767879
Johor,2015,1,2,2.131246
Johor,2015,1,3,0.896061
Johor,2015,1,4,0.976061
Johor,2015,1,5,2.441886
Johor,2015,1,6,3.10766
Johor,2015,1,7,3.838923
Johor,2015,1,8,1.925236
Johor,2015,1,9,1.820707
Johor,2015,1,10,1.671347
Johor,2015,1,11,1.412374
Johor,2015,1,12,2.232138
Johor,2015,1,13,0.994764
Johor,2015,1,14,1.09798
Johor,2015,1,15,2.011818
Johor,2015,1,16,0.227997
Johor,2015,1,17,0.039865
Johor,2015,1,18,0.099158
Johor,2015,1,19,0.0933
Johor,2015,1,20,0.25633
Johor,2015,1,21,0.516818
Johor,2015,1,22,0.262407
Johor,2015,1,23,0.128047
Johor,2015,1,24,0.172828
Johor,2015,1,25,0.064091
Johor,2015,1,26,0.281717
Johor,2015,1,27,1.322391
Johor,2015,1,28,0.935
Johor,2015,1,29,1.115589
Johor,2015,1,30,1.171582
Johor,2015,1,31,4.681044
Johor,2015,2,1,1.862357
Johor,2015,2,2,0.144461
Johor,2015,2,3,0.494512
Johor,2015,2,4,0.763468
Johor,2015,2,5,1.095909
Johor,2015,2,6,1.567896
Johor,2015,2,7,0.834125
Johor,2015,2,8,1.430707
Johor,2015,2,9,2.765589
Johor,2015,2,10,2.40436
Johor,2015,2,11,1.315758
Johor,2015,2,12,0.568451
Johor,2015,2,13,0.458771
Johor,2015,2,14,1.588098
Johor,2015,2,15,0.489057
Johor,2015,2,16,0.130589
Johor,2015,2,17,0.220471
Johor,2015,2,18,0.194731
Johor,2015,2,19,0.008973
Johor,2015,2,20,0.122811
Johor,2015,2,21,1.261599
Johor,2015,2,22,2.565926
Johor,2015,2,23,1.034916
Johor,2015,2,24,1.009966
Johor,2015,2,25,0.758165
Johor,2015,2,26,0.601111
Johor,2015,2,27,0.470101
Johor,2015,2,28,0.243788
Johor,2015,3,1,0.29899
Johor,2015,3,2,0.400118
Johor,2015,3,3,0.525707
Johor,2015,3,4,0.084024
Johor,2015,3,5,0.046852
Johor,2015,3,6,0.043451
Johor,2015,3,7,1.449916
Johor,2015,3,8,1.548923
Johor,2015,3,9,0.068687
Johor,2015,3,10,0.045471
Johor,2015,3,11,0.156667
Johor,2015,3,12,0.100875
Johor,2015,3,13,0.706936
Johor,2015,3,14,1.883451
Johor,2015,3,15,1.880522
Johor,2015,3,16,0.371296
Johor,2015,3,17,0.254444
Johor,2015,3,18,0.095034
Johor,2015,3,19,0.161094
Johor,2015,3,20,0.143586
Johor,2015,3,21,0.097643
Johor,2015,3,22,0.291987
Johor,2015,3,23,0.003973
Johor,2015,3,24,0.082896
Johor,2015,3,25,0.034141
Johor,2015,3,26,10.725253
Johor,2015,3,27,0.50032
Johor,2015,3,28,0.20798
Johor,2015,3,29,0.000859
Johor,2015,3,30,0.001734
Johor,2015,3,31,0.005808
Johor,2015,4,1,0.209646
Johor,2015,4,2,0.001886
Johor,2015,4,3,0.0
Johor,2015,4,4,0.0
Johor,2015,4,5,0.001953
Johor,2015,4,6,0.011481
Johor,2015,4,7,0.024411
Johor,2015,4,8,0.062576
Johor,2015,4,9,0.099293
Johor,2015,4,10,0.037189
Johor,2015,4,11,0.000471
Johor,2015,4,12,0.006633
Johor,2015,4,13,0.002694
Johor,2015,4,14,0.00037
Johor,2015,4,15,0.001044
Johor,2015,4,16,0.006279
Johor,2015,4,17,0.759613
Johor,2015,4,18,2.120993
Johor,2015,4,19,0.057626
Johor,2015,4,20,0.000152
Johor,2015,4,21,0.002407
Johor,2015,4,22,0.081296
Johor,2015,4,23,0.08468
Johor,2015,4,24,0.05367
Johor,2015,4,25,0.00436
Johor,2015,4,26,0.0
Johor,2015,4,27,0.0
Johor,2015,4,28,5.1e-05
Johor,2015,4,29,0.000236
Johor,2015,4,30,0.004848
Johor,2015,5,1,0.004983
Johor,2015,5,2,0.002138
Johor,2015,5,3,0.066178
Johor,2015,5,4,0.00032
Johor,2015,5,5,0.093737
Johor,2015,5,6,2.992088
Johor,2015,5,7,1.956195
Johor,2015,5,8,0.046061
Johor,2015,5,9,0.04335
Johor,2015,5,10,0.589512
Johor,2015,5,11,0.446027
Johor,2015,5,12,3.558451
Johor,2015,5,13,0.321397
Johor,2015,5,14,0.019815
Johor,2015,5,15,0.006582
Johor,2015,5,16,0.07069
Johor,2015,5,17,0.103586
Johor,2015,5,18,0.017104
Johor,2015,5,19,0.019327
Johor,2015,5,20,0.249882
Johor,2015,5,21,0.024865
Johor,2015,5,22,0.000673
Johor,2015,5,23,0.00032
Johor,2015,5,24,0.000505
Johor,2015,5,25,0.00303
Johor,2015,5,26,1.195909
Johor,2015,5,27,0.0
Johor,2015,5,28,0.000539
Johor,2015,5,29,0.233384
Johor,2015,5,30,0.000387
Johor,2015,5,31,0.015286
Johor,2015,6,1,0.0
Johor,2015,6,2,0.0
Johor,2015,6,3,0.032458
Johor,2015,6,4,0.00803
Johor,2015,6,5,0.012626
Johor,2015,6,6,0.017576
Johor,2015,6,7,0.00468
Johor,2015,6,8,6.7e-05
Johor,2015,6,9,0.000101
Johor,2015,6,10,0.0
Johor,2015,6,11,0.001414
Johor,2015,6,12,0.0
