state,year,month,month_mean_mm
Johor,2014,1,2.624398806451613
Johor,2014,2,1.9943585
Johor,2014,3,1.431767129032258
Johor,2014,4,0.045276
Johor,2014,5,0.0944145483870967
Johor,2014,6,0.2653999999999999
Johor,2014,7,0.3050043870967742
Johor,2014,8,0.5153948387096774
Johor,2014,9,1.8416492333333327
Johor,2014,10,3.0159162903225805
Johor,2014,11,5.545474233333334
Johor,2014,12,5.841370677419355
Johor,2015,1,1.2804594838709678
Johor,2015,2,0.9430952142857144
Johor,2015,3,0.7167302580645161
Johor,2015,4,0.1211952666666666
Johor,2015,5,0.3897522903225806
Johor,2015,6,0.0601829333333333
Johor,2015,7,0.5787775806451613
Johor,2015,8,0.7094102258064516
Johor,2015,9,1.1841095666666666
Johor,2015,10,2.238948709677419
Johor,2015,11,3.801578433333334
Johor,2015,12,2.2814890967741936
Johor,2016,1,0.7705115483870968
Johor,2016,2,1.1932915172413794
Johor,2016,3,1.4453377741935485
Johor,2016,4,0.4006122
Johor,2016,5,0.0816704193548387
Johor,2016,6,0.0004797333333333
Johor,2016,7,0.1936700322580645
Johor,2016,8,0.3911258064516129
Johor,2016,9,1.7594742333333333
Johor,2016,10,3.6569690967741937
Johor,2016,11,2.6493855666666666
Johor,2016,12,2.8253204193548385
Johor,2017,1,1.3184615161290325
Johor,2017,2,2.200285535714285
Johor,2017,3,0.3438937741935484
Johor,2017,4,0.2436105666666666
Johor,2017,5,0.0144364193548387
Johor,2017,6,0.1865706999999999
Johor,2017,7,0.3156924193548387
Johor,2017,8,0.8301238387096774
Johor,2017,9,1.3817222
Johor,2017,10,2.264262032258064
Johor,2017,11,4.287204233333333
Johor,2017,12,5.002084838709677
Johor,2018,1,1.195034193548387
Johor,2018,2,1.679198607142857
Johor,2018,3,0.2205370967741935
Johor,2018,4,0.3884236666666666
Johor,2018,5,0.0156663548387096
Johor,2018,6,0.0026857333333333
Johor,2018,7,0.2225692580645161
Johor,2018,8,2.467103806451613
Johor,2018,9,0.1856566
Johor,2018,10,3.332534548387097
Johor,2018,11,4.194024233333333
Johor,2018,12,5.206151838709678
Johor,2019,1,2.428705741935484
Johor,2019,2,0.79914625
Johor,2019,3,0.993476193548387
Johor,2019,4,0.9557211
Johor,2019,5,0.0467204516129032
Johor,2019,6,0.0331105333333333
Johor,2019,7,0.429896870967742
Johor,2019,8,1.2235494193548386
Johor,2019,9,0.8246554666666666
Johor,2019,10,1.9592006129032256
Johor,2019,11,6.344332233333334
Johor,2019,12,2.1826398709677424
Johor,2020,1,2.0318089032258064
Johor,2020,2,0.3896562758620689
Johor,2020,3,1.997724580645161
Johor,2020,4,0.1251711
Johor,2020,5,0.2775188709677419
Johor,2020,6,0.6355482666666666
Johor,2020,7,1.1068790967741935
Johor,2020,8,0.3677968387096774
Johor,2020,9,2.907848466666666
Johor,2020,10,5.042020774193549
Johor,2020,11,5.105144266666667
Johor,2020,12,6.018275225806452
Kedah,2014,1,0.7788064516129033
Kedah,2014,2,0.3343443214285714
Kedah,2014,3,0.3406539677419355
Kedah,2014,4,0.3780488999999999
Kedah,2014,5,1.608886935483871
Kedah,2014,6,0.7972491333333332
Kedah,2014,7,3.28905535483871
Kedah,2014,8,0.2908873870967742
Kedah,2014,9,1.1662970333333331
Kedah,2014,10,6.872163451612902
Kedah,2014,11,6.102878266666667
Kedah,2014,12,4.360217903225807
Kedah,2015,1,0.1467962258064516
Kedah,2015,2,1.0303388928571429
Kedah,2015,3,1.7058933548387096
Kedah,2015,4,2.5933366333333336
Kedah,2015,5,2.646068483870968
Kedah,2015,6,2.5841694333333334
Kedah,2015,7,0.6812551290322582
Kedah,2015,8,2.012585064516129
Kedah,2015,9,1.2526598666666666
Kedah,2015,10,6.395173322580645
Kedah,2015,11,2.2239692666666664
Kedah,2015,12,1.6026060322580646
Kedah,2016,1,0.5739337741935484
Kedah,2016,2,0.8718323793103447
Kedah,2016,3,1.3049311612903225
Kedah,2016,4,0.1306836666666666
Kedah,2016,5,0.4766035483870968
Kedah,2016,6,0.3635904333333333
Kedah,2016,7,0.0552966774193548
Kedah,2016,8,0.1818594838709677
Kedah,2016,9,2.070417566666667
Kedah,2016,10,4.008421225806451
Kedah,2016,11,4.647531266666666
Kedah,2016,12,1.3689981612903226
Kedah,2017,1,0.3458041612903226
Kedah,2017,2,1.6617844642857142
Kedah,2017,3,0.126773129032258
Kedah,2017,4,0.0879056333333333
Kedah,2017,5,1.807453516129032
Kedah,2017,6,0.1831671666666666
Kedah,2017,7,0.5613618709677418
Kedah,2017,8,1.006880935483871
Kedah,2017,9,0.5650921666666666
Kedah,2017,10,0.7017582258064516
Kedah,2017,11,5.365713266666666
Kedah,2017,12,1.966661935483871
