State,Year,Month,Day,Rainfall (mm)
Johor,2020,1,1,0.09
Johor,2020,1,2,0.23
Johor,2020,1,3,0.06
Johor,2020,1,4,0.11
Johor,2020,1,5,0.04
Johor,2020,1,6,0.13
Johor,2020,1,7,0.13
Johor,2020,1,8,0.21
Johor,2020,1,9,12.58
Johor,2020,1,10,44.80
Johor,2020,1,11,5.75
Johor,2020,1,12,0.87
Johor,2020,1,13,0.40
Johor,2020,1,14,0.94
Johor,2020,1,15,0.38
Johor,2020,1,16,0.22
Johor,2020,1,17,0.10
Johor,2020,1,18,0.15
Johor,2020,1,19,0.28
Johor,2020,1,20,0.65
Johor,2020,1,21,0.74
Johor,2020,1,22,0.27
Johor,2020,1,23,0.20
Johor,2020,1,24,0.39
Johor,2020,1,25,0.25
Johor,2020,1,26,0.51
Johor,2020,1,27,0.52
Johor,2020,1,28,0.58
Johor,2020,1,29,0.35
Johor,2020,1,30,0.05
Johor,2020,1,31,0.07
Johor,2020,2,1,0.14
Johor,2020,2,2,0.29
Johor,2020,2,3,0.29
Johor,2020,2,4,0.11
Johor,2020,2,5,0.37
Johor,2020,2,6,0.19
Johor,2020,2,7,0.35
Johor,2020,2,8,0.25
Johor,2020,2,9,0.37
Johor,2020,2,10,0.16
Johor,2020,2,11,0.62
Johor,2020,2,12,3.05
Johor,2020,2,13,1.24
Johor,2020,2,14,0.52
Johor,2020,2,15,0.70
Johor,2020,2,16,1.52
Johor,2020,2,17,0.66
Johor,2020,2,18,2.81
Johor,2020,2,19,3.20
Johor,2020,2,20,3.46
Johor,2020,2,21,1.66
Johor,2020,2,22,0.58
Johor,2020,2,23,0.51
Johor,2020,2,24,0.31
Johor,2020,2,25,0.48
Johor,2020,2,26,0.13
Johor,2020,2,27,0.27
Johor,2020,2,28,0.09
Johor,2020,2,29,0.06
Johor,2020,3,1,0.08
Johor,2020,3,2,0.13
Johor,2020,3,3,0.09
Johor,2020,3,4,0.05
Johor,2020,3,5,0.06
Johor,2020,3,6,0.06
Johor,2020,3,7,0.03
Johor,2020,3,8,0.09
Johor,2020,3,9,0.04
Johor,2020,3,10,0.04
Johor,2020,3,11,0.04
Johor,2020,3,12,0.76
Johor,2020,3,13,1.22
Johor,2020,3,14,0.19
Johor,2020,3,15,0.01
Johor,2020,3,16,0.04
Johor,2020,3,17,2.48
Johor,2020,3,18,27.96
Johor,2020,3,19,24.11
Johor,2020,3,20,6.56
Johor,2020,3,21,17.92
Johor,2020,3,22,2.33
Johor,2020,3,23,0.39
Johor,2020,3,24,2.53
Johor,2020,3,25,2.05
Johor,2020,3,26,0.87
Johor,2020,3,27,0.76
Johor,2020,3,28,1.24
Johor,2020,3,29,0.29
Johor,2020,3,30,5.61
Johor,2020,3,31,11.73
Johor,2020,4,1,3.25
Johor,2020,4,2,0.71
Johor,2020,4,3,0.05
Johor,2020,4,4,0.12
Johor,2020,4,5,0.04
Johor,2020,4,6,0.07
Johor,2020,4,7,0.12
Johor,2020,4,8,0.10
Johor,2020,4,9,0.59
Johor,2020,4,10,0.01
Johor,2020,4,11,0.38
Johor,2020,4,12,2.32
Johor,2020,4,13,6.93
Johor,2020,4,14,0.07
Johor,2020,4,15,0.00
Johor,2020,4,16,0.00
Johor,2020,4,17,0.16
Johor,2020,4,18,0.00
Johor,2020,4,19,0.04
Johor,2020,4,20,0.02
Johor,2020,4,21,0.17
Johor,2020,4,22,0.00
Johor,2020,4,23,0.03
Johor,2020,4,24,0.06
Johor,2020,4,25,2.77
Johor,2020,4,26,2.55
Johor,2020,4,27,6.20
Johor,2020,4,28,20.14
Johor,2020,4,29,22.63
Johor,2020,4,30,10.42
Johor,2020,5,1,4.79
Johor,2020,5,2,8.16
Johor,2020,5,3,0.06
Johor,2020,5,4,0.71
Johor,2020,5,5,1.27
Johor,2020,5,6,4.91
Johor,2020,5,7,0.71
Johor,2020,5,8,1.61
Johor,2020,5,9,0.13
Johor,2020,5,10,0.03
Johor,2020,5,11,0.22
Johor,2020,5,12,0.16
Johor,2020,5,13,1.13
Johor,2020,5,14,2.48
Johor,2020,5,15,0.30
Johor,2020,5,16,0.00
Johor,2020,5,17,0.00
Johor,2020,5,18,0.12
Johor,2020,5,19,4.42
Johor,2020,5,20,1.89
Johor,2020,5,21,2.77
Johor,2020,5,22,13.95
Johor,2020,5,23,3.51
Johor,2020,5,24,6.33
Johor,2020,5,25,0.00
Johor,2020,5,26,0.00
Johor,2020,5,27,0.00
Johor,2020,5,28,0.00
Johor,2020,5,29,0.00
Johor,2020,5,30,0.00
Johor,2020,5,31,0.00
Johor,2020,6,1,0.00
Johor,2020,6,2,0.00
Johor,2020,6,3,0.00
Johor,2020,6,4,0.00
Johor,2020,6,5,0.02
Johor,2020,6,6,3.43
Johor,2020,6,7,4.92
Johor,2020,6,8,7.29
Johor,2020,6,9,0.00
Johor,2020,6,10,0.00
Johor,2020,6,11,0.24
Johor,2020,6,12,0.00
Johor,2020,6,13,0.00
Johor,2020,6,14,0.00
Johor,2020,6,15,0.00
Johor,2020,6,16,0.00
Johor,2020,6,17,0.00
Johor,2020,6,18,0.00
Johor,2020,6,19,0.00
Johor,2020,6,20,0.00
