State,Year,MinTemp_C,MaxTemp_C
Johor,2014,23.55,32.25
Johor,2015,24.025,32.425
Johor,2016,24.525,32.85
Johor,2017,24.025,31.975
Johor,2018,23.825,31.875
Johor,2019,24.025,32.5
Johor,2020,24.225,32.075
Kedah,2014,24.65,32.5
Kedah,2015,24.8,32.7
Kedah,2016,25.3,32.9
Kedah,2017,24.6,31.8
Kedah,2018,24.85,32.45
Kedah,2019,25.15,32.9
Kedah,2020,25.0,32.75
Kelantan,2014,23.049999999999997,31.799999999999997
Kelantan,2015,23.75,32.3
Kelantan,2016,24.200000000000003,32.7
Kelantan,2017,24.0,31.7
Kelantan,2018,23.9,32.1
Kelantan,2019,23.96666666666667,32.300000000000004
Kelantan,2020,24.099999999999998,32.0
Melaka,2014,24.2,32.2
Melaka,2015,24.5,32.4
Melaka,2016,25.0,32.7
Melaka,2017,21.6,31.7
Melaka,2018,24.2,31.8
Melaka,2019,24.5,32.5
Melaka,2020,24.0,32.3
Pahang,2014,19.7,27.4
Pahang,2015,22.1,31.080000000000002
Pahang,2016,22.419999999999998,31.440000000000005
Pahang,2017,22.4,30.560000000000002
Pahang,2018,22.02,30.74
Pahang,2019,22.04,31.1
Pahang,2020,22.259999999999998,30.76
Perak,2014,24.05,32.65
Perak,2015,24.0,32.96666666666667
Perak,2016,24.400000000000002,33.56666666666666
Perak,2017,23.933333333333337,32.5
Perak,2018,23.900000000000002,32.733333333333334
Perak,2019,24.2,33.36666666666667
Perak,2020,24.266666666666666,32.96666666666667
Perlis,2014,24.1,33.3
Perlis,2015,24.3,33.3
Perlis,2016,24.8,33.7
Perlis,2017,25.2,32.5
Perlis,2018,24.5,33.4
Perlis,2019,24.2,33.4
Perlis,2020,24.3,33.2
Pulau Pinang,2014,24.85,31.9
Pulau Pinang,2015,24.549999999999997,31.700000000000003
Pulau Pinang,2016,24.85,32.05
Pulau Pinang,2017,25.05,32.0
Pulau Pinang,2018,24.85,32.05
Pulau Pinang,2019,25.1,32.55
Pulau Pinang,2020,25.1,32.150000000000006
Sabah,2014,23.925,31.725
Sabah,2015,24.45,32.05
Sabah,2016,24.625,32.2
Sabah,2017,24.275,31.25
Sabah,2018,24.35,31.925
Sabah,2019,23.316666666666666,31.78333333333333
Sabah,2020,23.516666666666666,31.416666666666668
Sarawak,2014,23.75,31.650000000000002
Sarawak,2015,23.8,32.08
Sarawak,2016,24.119999999999997,32.32
Sarawak,2017,23.759999999999998,32.06
Sarawak,2018,23.64,32.1
Sarawak,2019,23.8,32.775
Sarawak,2020,23.9375,32.35
Selangor,2014,24.65,32.75
Selangor,2015,24.933333333333334,33.0
Selangor,2016,25.2,33.26666666666667
Selangor,2017,24.5,32.5
Selangor,2018,24.766666666666666,32.73333333333333
Selangor,2019,25.066666666666666,33.333333333333336
Selangor,2020,25.133333333333336,33.1
Terengganu,2014,24.4,31.5
Terengganu,2015,24.7,31.6
Terengganu,2016,24.9,31.9
Terengganu,2017,24.5,31.4
Terengganu,2018,24.6,31.5
Terengganu,2019,24.35,31.65
Terengganu,2020,24.5,31.4
Wilayah Persekutuan Labuan,2014,25.1,31.1
Wilayah Persekutuan Labuan,2015,25.3,31.5
Wilayah Persekutuan Labuan,2016,25.5,31.9
Wilayah Persekutuan Labuan,2017,24.9,31.0
Wilayah Persekutuan Labuan,2018,24.7,31.1
Wilayah Persekutuan Labuan,2019,25.2,31.7
Wilayah Persekutuan Labuan,2020,25.0,31.4
