State,Year,Water_Production,Avg_Rainfall_mm,MinMeanTemp_C
Johor,2014,1568,1.9600353870071685,23.55
Johor,2015,1619,1.1921440882872505,24.025
Johor,2016,1737,1.2806540289457422,24.525
Johor,2017,1680,1.5323623395353303,24.025
Johor,2018,1757,1.5924654947708652,23.825
Johor,2019,1888,1.5184295620519714,24.025
Johor,2020,1831,2.1671160555153874,24.225
Kedah,2014,1299,2.193290758864568,24.65
Kedah,2015,1315,2.072904308813364,24.8
Kedah,2016,1361,1.337841612075145,25.3
Kedah,2017,1370,1.1983630393177165,24.6
Kedah,2018,1446,2.450118953161802,24.85
Kedah,2019,1474,1.2954904332245265,25.15
Kedah,2020,1487,2.486544650760104,25.0
Kelantan,2014,445,4.85509137546723,23.05
Kelantan,2015,454,3.2302030481630823,23.75
Kelantan,2016,471,4.4564426786305775,24.200000000000003
Kelantan,2017,475,4.374572345385304,24.0
Kelantan,2018,491,3.962189095116488,23.9
Kelantan,2019,503,4.697866682008448,23.96666666666667
Kelantan,2020,507,4.396434411824868,24.1
Melaka,2014,532,1.7348772272529442,24.2
Melaka,2015,519,1.0488245718830005,24.5
Melaka,2016,510,1.0138236310004944,25.0
Melaka,2017,513,1.082559802547363,21.6
Melaka,2018,528,1.528049957296467,24.2
Melaka,2019,538,1.1759199287442397,24.5
Melaka,2020,578,2.451705859124336,24.0
Pahang,2014,1108,3.1982696993471578,19.7
Pahang,2015,1129,1.9959288658794163,22.1
Pahang,2016,1111,2.290022248896922,22.42
Pahang,2017,1109,2.394528442121096,22.4
Pahang,2018,1158,2.424494271281362,22.02
Pahang,2019,1194,2.4383139691820275,22.04
Pahang,2020,1269,3.232270548798047,22.26
Penang,2014,995,2.054133330773169,24.85
Penang,2015,1014,1.5014873305491552,24.55
Penang,2016,1054,0.6828333078451365,24.85
Penang,2017,1058,1.024387885995904,25.05
Penang,2018,1073,1.5770710058819766,24.85
Penang,2019,1093,0.8583699040130569,25.1
Penang,2020,1108,2.5042024735415898,25.1
Perak,2014,1224,3.239756771044547,24.05
Perak,2015,1289,3.199827109485407,24.0
Perak,2016,1317,2.2027761896984304,24.4
Perak,2017,1314,2.6285066358678955,23.933333333333337
Perak,2018,1333,2.674616772299028,23.9
Perak,2019,1357,2.4769412680363545,24.2
Perak,2020,1392,3.4425958862470645,24.266666666666666
Perlis,2014,208,1.5804218074756786,24.1
Perlis,2015,220,1.0986061460445469,24.3
Perlis,2016,243,0.8179763605796563,24.8
Perlis,2017,228,0.5164345797171019,25.2
Perlis,2018,234,1.4085863558691756,24.5
Perlis,2019,252,0.7570381033794162,24.2
Perlis,2020,243,1.4447176456031394,24.3
Selangor,2014,4594,1.7710603622951868,24.65
Selangor,2015,4675,1.858398103104199,24.933333333333334
Selangor,2016,4807,1.141478657251885,25.2
Selangor,2017,4842,1.8036755704493088,24.5
Selangor,2018,4856,1.5032534512608808,24.766666666666666
Selangor,2019,4932,1.626308798527906,25.066666666666663
Selangor,2020,4967,2.070621389126808,25.133333333333336
Terengganu,2014,598,5.459906013677675,24.4
Terengganu,2015,603,2.803360466589861,24.7
Terengganu,2016,640,4.518184159736126,24.9
Terengganu,2017,641,4.781877264912954,24.5
Terengganu,2018,627,4.008447944578854,24.6
Terengganu,2019,632,4.655670815508192,24.35
Terengganu,2020,657,5.040400512952664,24.5
