State,Year,Water_Production
Johor,2014,1568
Johor,2015,1619
Johor,2016,1737
Johor,2017,1680
Johor,2018,1757
Johor,2019,1888
Johor,2020,1831
Kedah,2014,1299
Kedah,2015,1315
Kedah,2016,1361
Kedah,2017,1370
Kedah,2018,1446
Kedah,2019,1474
Kedah,2020,1487
Kelantan,2014,445
Kelantan,2015,454
Kelantan,2016,471
Kelantan,2017,475
Kelantan,2018,491
Kelantan,2019,503
Kelantan,2020,507
Melaka,2014,532
Melaka,2015,519
Melaka,2016,510
Melaka,2017,513
Melaka,2018,528
Melaka,2019,538
Melaka,2020,578
Negeri Sembilan,2014,744
Negeri Sembilan,2015,752
Negeri Sembilan,2016,779
Negeri Sembilan,2017,771
Negeri Sembilan,2018,780
Negeri Sembilan,2019,784
Negeri Sembilan,2020,795
Pahang,2014,1108
Pahang,2015,1129
Pahang,2016,1111
Pahang,2017,1109
Pahang,2018,1158
Pahang,2019,1194
Pahang,2020,1269
Penang,2014,995
Penang,2015,1014
Penang,2016,1054
Penang,2017,1058
Penang,2018,1073
Penang,2019,1093
Penang,2020,1108
Perak,2014,1224
Perak,2015,1289
Perak,2016,1317
Perak,2017,1314
Perak,2018,1333
Perak,2019,1357
Perak,2020,1392
Perlis,2014,208
Perlis,2015,220
Perlis,2016,243
Perlis,2017,228
Perlis,2018,234
Perlis,2019,252
Perlis,2020,243
Selangor,2014,4594
Selangor,2015,4675
Selangor,2016,4807
Selangor,2017,4842
Selangor,2018,4856
Selangor,2019,4932
Selangor,2020,4967
Terengganu,2014,598
Terengganu,2015,603
Terengganu,2016,640
Terengganu,2017,641
Terengganu,2018,627
Terengganu,2019,632
Terengganu,2020,657
